label	ID	Day	Sample	Portion	Rain	InRiver	LAT	LON
X1D01	1	1	DS92	Upper	Before	yes	41.38616793	-81.15735861
X1D02	2	1	DS24	Upper	Before	yes	41.38289094	-81.15737203
X1D03	3	1	DS80	Upper	Before	yes	41.38242415	-81.15462989
X1D04	4	1	DS39	Upper	Before	yes	41.37719879	-81.15318334
X1D05	5	1	DS85	Upper	Before	yes	41.37009471	-81.16215114
X1D06	6	1	DS28	Upper	Before	yes	41.3629835	-81.16263611
X1D07	7	1	DS1	Upper	Before	yes	41.34894742	-81.16448415
X1D08	8	1	DS63	Upper	Before	yes	41.34008037	-81.16737968
X1D09	9	1	DS66	Upper	Before	yes	41.32691433	-81.17250907
X1D10	10	1	DS87	Upper	Before	yes	41.31662386	-81.18341435
X1D12	12	1	DS86	Upper	Before	yes	41.31015153	-81.1946922
X1D15	15	1	DS22	Upper	Before	yes	41.30293823	-81.20072516
X1D17	17	1	DS38	Upper	Before	yes	41.2907584	-81.21081403
X1D18	18	1	DS25	Upper	Before	yes	41.28487037	-81.21658481
X1D19	19	1	DS69	Upper	Before	yes	41.28487037	-81.21658481
X1D22	22	1	DS88	Upper	Before	yes	ND	ND
X1D23	23	1	DS32	Upper	Before	yes	41.2797217	-81.22239229
X1D25	25	1	DS89	Upper	Before	yes	ND	ND
X1D26	26	1	DS15	Upper	Before	yes	41.27651059	-81.22707878
X1D27	27	1	DS10	Upper	Before	yes	41.27373467	-81.23310386
X1D28	28	1	DS52	Upper	Before	yes	41.26907567	-81.24587134
X1D29	29	1	DS75	Upper	Before	yes	41.25905394	-81.25497258
X1D30	30	1	DS94	Upper	Before	yes	41.25213861	-81.26298711
X1D31	31	1	DS90	Upper	Before	yes	41.24900957	-81.28321608
X1D32	32	1	DS72	Middle	Before	yes	41.12303434	-81.51505256
X1D33	33	1	DS83	Middle	Before	yes	41.12168653	-81.51962757
X1D34	34	1	DS6	Middle	Before	yes	41.11745937	-81.52206712
X1D35	35	1	DS67	Middle	Before	yes	41.11906174	-81.52647978
X1D36	36	1	DS27	Middle	Before	yes	41.12984237	-81.5381261
X1D37	37	1	DS36	Middle	Before	yes	41.13340736	-81.54780149
X1D38	38	1	DS37	Middle	Before	yes	41.13783586	-81.55639571
X1D39	39	1	DS62	Middle	Before	yes	ND	ND
X1D40	40	1	DS13	Middle	Before	yes	41.14409513	-81.56314046
X1D41	41	1	DS91	Middle	Before	yes	41.15556702	-81.57106698
X1D43	43	1	DS55	Middle	After	yes	ND	ND
X2D01	1	2	DS77	Middle	After	yes	41.123059	-81.515063
X2D02	2	2	DS50	Middle	After	yes	41.117976	-81.524711
X2D03	3	2	DS47	Middle	After	yes	41.136665	-81.547141
X2D05	5	2	DS18	Middle	After	yes	41.181709	-81.58388
X2D06	6	2	DS49	Middle	After	yes	41.241662	-81.548578
X2D07	7	2	DS65	Middle	After	yes	41.262888	-81.560156
X2D10	10	2	DS46	Lower	After	yes	41.392993	-81.629411
X2D12	12	2	DS51	Lower	After	yes	41.414974	-81.638878
X2D13	13	2	DS64	Lower	After	yes	41.416104	-81.639279
X2D16	16	2	DS60	Lower	After	yes	41.420158	-81.657798
X2D18	18	2	DS26	Lower	After	yes	41.42701	-81.666138
X2D19	19	2	DS21	Lower	After	yes	41.434384	-81.664195
X2D20	20	2	DS57	Lower	After	yes	41.439323	-81.669733
X2D21	21	2	DS41	Lower	After	yes	41.443194	-81.677473
X2D22out	22_out	2	DS7	Lower	After	yes	41.444157	-81.677299
X2D22in	22_in	2	DS34	Lower	After	yes	41.444157	-81.677299
X2D23	23	2	DS54	Lower	After	yes	41.448046	-81.684159
X2D25	25	2	DS35	Lower	After	yes	41.460835	-81.683129
X2D27	27	2	DS40	Lower	After	yes	41.467604	-81.671395
X2D28	28	2	DS70	Lower	After	yes	41.475447	-81.670943
X2D29	29	2	DS9	Lower	After	yes	41.481574	-81.675583
X2D30	30	2	DS3	Lower	After	yes	41.485641	-81.678992
X2D31	31	2	DS45	Lower	After	yes	41.489249	-81.684129
X2D32	32	2	DS71	Lower	After	yes	41.487623	-81.693352
X2D33	33	2	DS78	Lower	After	yes	41.493653	-81.692506
X2D34	34	2	DS12	Lower	After	yes	41.488853	-81.703449
X2D35	35	2	DS95	Lower	After	yes	41.495575	-81.702833
X2D36	36	2	DS43	Lower	After	yes	41.500043	-81.708604
X2D37	37	2	DS82	Lower	After	yes	41.503674	-81.712785
MC01	1	M	DS33	Upper	After	yes	41.4252	-81.15651667
MC02	2	M	DS20	Upper	After	yes	41.41858333	-81.15888333
MC03	3	M	DS17	Upper	After	yes	41.4125	-81.15595
MC04	4	M	DS68	Upper	After	yes	41.40428333	-81.16113333
MC05	5	M	DS11	Upper	After	yes	41.39693333	-81.15885
MC06	6	M	DS79	Upper	After	yes	41.3908	-81.15976667
MC07	7	M	DS31	Upper	After	yes	41.38608333	-81.15741667
MC08	8	M	DS42	Upper	After	yes	41.38158333	-81.1584
MC09	9	M	DS30	Upper	After	yes	41.37728333	-81.15076667
MC10	10	M	DS76	Upper	After	yes	41.37473333	-81.1563
MC11	11	M	DS73	Upper	After	yes	41.36871667	-81.15995
MC12	12	M	DS93	Upper	After	yes	41.3609	-81.1626
MC13	13	M	DS59	Upper	After	yes	41.35051667	-81.1637
MC14	14	M	DS8	Upper	After	yes	41.33803333	-81.16733333
MC15	15	M	DS48	Upper	After	yes	41.32778333	-81.17135
